Name	GeneName	adjp	log2fc
ENSDARG00000031683	fosab	1.0546842697979969e-39	-1.663131028281703
ENSDARG00000034503	per2	2.924056528215876e-28	0.838035510509445
ENSDARG00000104773	junbb	3.2410472458136137e-24	-0.7810541746309473
ENSDARG00000055752	npas4a	1.416640922769663e-19	-0.7447448588293989
ENSDARG00000087440	ponzr4	7.198117507650604e-19	2.0679494980332445
ENSDARG00000059054	pdk2b	1.017018607577571e-18	0.7471538319065161
ENSDARG00000099195	ier2a	1.017018607577571e-18	-0.7927835991597645
ENSDARG00000079227	plekhs1	3.769207162775586e-18	-1.4893702196945515
ENSDARG00000098761	rgs2	1.4460258466667767e-17	-1.7197202185116396
ENSDARG00000086881	ier2b	3.2117430800886777e-15	-0.8602131689498111
ENSDARG00000093494	si:ch211-217k17.9	3.2117430800886777e-15	-0.772155925667385
ENSDARG00000032801	grk5	6.334736320467128e-15	-1.2966320682914954
ENSDARG00000023656	he1.1	8.289616663669282e-15	-9.08493307391428
ENSDARG00000097826	si:dkey-239b22.2	7.271082588264715e-14	1.1914099813769463
ENSDARG00000053761	si:dkey-187j14.4	1.045518015896552e-13	-1.288266969193545
ENSDARG00000070041	zgc:153920	1.6653254390037004e-13	-2.1869730666865665
ENSDARG00000037421	egr1	2.599300812048074e-13	-0.5659082294197473
ENSDARG00000077799	egr4	1.8185065988472749e-12	-0.9271371116430164
ENSDARG00000089806	si:dkey-239j18.3	2.2500317428968333e-12	-7.849496180951048
ENSDARG00000040277	fbxo32	2.2364468947159918e-11	0.5145653669246746
ENSDARG00000074150	si:ch211-226h7.5	6.637406827582335e-10	-2.1132815323773926
ENSDARG00000076844	plin6	6.951697188409719e-10	-1.1586285319646836
ENSDARG00000093936	si:dkeyp-1h4.6	1.3876069945080615e-9	-2.1064906410552684
ENSDARG00000014975	irge1	1.7591567176788102e-9	-1.3364108513021749
ENSDARG00000020876	pdk2a	2.394291533406085e-9	0.4230653213635479
ENSDARG00000099186	slc1a5	2.6361772263841662e-9	0.36506359299074265
ENSDARG00000043093	mpeg1.2	3.397035857287698e-9	-1.038810747644992
